4;VEL114F;70385520186;2018-12-04 13:30:00;2018-12-04 16:30:00
4;FRG315G;70781520186;2018-12-04 13:30:00;2018-12-04 16:30:00
4;ITH321G;70790420186;2018-12-04 13:30:00;2018-12-04 16:30:00
4;TJO106G;70940120186;2018-12-04 13:30:00;2018-12-04 16:30:00
5;LOG104G;03013120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;LOG114F;03152620186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;HAG101F;04062420186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;VID166F;04072520186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;VID506G;04431320186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;HAG101G;04510320186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;ISL110G;05400120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;SAG101G;05601120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;TOL503M;08731220186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;JED505G;09248120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;LIF516M;09517720186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;FRG103G;10060820186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;SAL135F;10521120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;STM109F;61300120186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;NSR007F;70185820186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;STA520M;70375720186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;GSL104G;70662020186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;MAT303G;70780520186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;FRG119F;70785920186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;JED301G;70817920186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;ISL327G;70829320186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;GFR217G;70951720186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;VID197F;70963920186;2018-12-05 09:00:00;2018-12-05 12:00:00
5;GFR046F;01130120186;2018-12-05 09:00:00;2018-12-05 12:00:00
6;HAG109F;04075020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;VID126F;04446320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;AMV302M;05051020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;LIS004G;05070320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;SPA102M;05291120186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;TAN524G;07095520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;IDN502G;08213320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;EDL302G;09213420186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;KYN106G;10150120186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;UPP105F;10512020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;KYN101F;10542020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;ASK105F;10598520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;LOG132F;70044020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;MIS105F;70055120186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;LYF507G;70181520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;GFR114G;70200820186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;TSM302G;70215320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;BYG116F;70273820186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;TAL101F;70315220186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;GSS301F;70418520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;MAT504M;70552220186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;HJU135F;70651320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;TSM502G;70706520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;SJU508G;70737420186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;SJU308G;70738020186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;NLF108F;70739320186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;GFR510M;70741420186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;ITH115G;70789520186;2018-12-05 13:30:00;2018-12-05 16:30:00
6;LIF533M;70902220186;2018-12-05 13:30:00;2018-12-05 16:30:00
